taxon_id	abundance
1293039	1
420247	3
435830	1
1123488	1
1120979	1
442563	1
398513	1
326426	1
401473	1
857290	1
1035195	1
553201	5
267747	1
754252	1
411903	7
445975	1
742742	1
479437	1
657308	1
411901	4
537012	7
470145	4
483216	3
272559	1
471870	4
1121098	1
411476	4
484018	19
997887	1
449673	12
411479	24
709991	7
879243	2
1122971	2
1122975	1
762982	1
553171	2
679190	1
1122981	1
866771	1
702439	1
1002367	3
679935	3
742725	2
1203611	2
445970	6
435591	8
927665	2
1203610	1
411477	11
367737	1
553220	1
360107	1
883165	1
563192	2
1121445	1
411464	2
345219	1
445974	1
1123313	1
649755	2
706433	1
321956	2
525328	1
907931	1
1229756	1
586220	1
278197	1
420889	1
1234601	1
208435	1
210007	1
347253	1
93061	1
445971	3
903814	1
411490	1
649757	14
537007	3
476272	1
411459	1
1121115	11
511680	1
717962	1
470146	20
411474	12
411461	6
411462	1
585394	9
622312	2
1121128	2
445972	1
411485	5
657321	1
411473	7
411471	1
525254	1
655811	1
411465	1
862517	1
1118057	1
596330	1
445973	1
591001	1
1122957	3
626939	1
742816	1
592028	6
1064535	1
706434	1
479436	2
469616	1
190304	1
469599	1
742821	16
525369	1
208963	1
1215097	1
352165	2
349741	3
