entity_id	self_mimicry_ratio
0	0.0006757669955399379
1	0.0005122853619201214
10	0.0009366219169528567
100	0.0006875353878508453
101	0.00035814053434567725
102	0.0005638037962788949
103	0.00045079855744461616
104	0.0005683971201212581
105	0.0008990600735594605
106	0.0010731707317073172
107	0.0009030704394942806
108	0.0007106815436003127
109	0.0006200177147918512
11	0.0005288751120186869
110	0.0007247952453431905
111	0.0008462026655383964
112	0.000709177944565924
113	0.0006796416434970651
114	0.0006704210244033253
115	0.0009204470742932282
116	0.0006863754473697112
117	0.0004735689338779376
119	0.0007125298371869322
12	0.0008069164265129683
120	0.0006463527239150508
121	0.0003344341791731115
122	0.00037527676661537883
123	0.00033062708937952316
124	0.0003943217665615142
125	0.0007426661715558856
126	0.00042733382541470806
127	0.0004422643936957221
128	0.0005902383654937571
129	0.00042226487523992323
13	0.0006297522974296777
130	0.0005051896757600808
131	0.00042226487523992323
132	0.0004014586330333545
133	0.00043913578078341823
134	0.0006161904028344758
135	0.0008288055990422691
137	0.0003756574004507889
138	0.0005619920456510462
139	0.0005442999697611128
14	0.0006697774106405305
140	0.0009078529278256923
141	0.0011192359349350843
142	0.0004266211604095563
143	0.0005551785824440195
144	0.0005676979846721544
145	0.0006033322504292941
146	0.0007365021811795365
147	0.0009002925950934053
148	0.000879562731670541
149	0.0006574621959237344
15	0.0006443496670860054
150	0.0006976419701409237
151	0.001022785385533269
152	0.001161620072794858
153	0.0012035303557100829
154	0.0009177258752810536
155	0.0011142061281337048
156	0.0009962770698967018
157	0.0010682723123239778
159	0.0007739323702174949
16	0.0006916267060125415
160	0.0006756629943131698
161	0.00047187123158391443
162	0.0007460830639144492
17	0.0009003885887593593
18	0.00040243248077267036
19	0.0004207119741100324
2	0.0005248013898188531
20	0.00021751345864525368
21	0.0004755744939887384
22	0.000488156889379404
23	0.0005726798046151255
24	0.0006058911260253542
25	0.0005919740777666999
26	0.000721555521798572
27	0.0007150813405024821
28	0.0005012855548907683
29	0.0007544193542856163
3	0.0006845017397752553
30	0.000722530301114503
31	0.0007109245404380649
32	0.0008674763112238089
33	0.0006942971205955526
34	0.0008095785930376241
35	0.0009173109684182938
36	0.0008190714316506445
37	0.0008088558156733147
38	0.0006448209156457003
39	0.0006569762667323643
4	0.0007809726659566915
41	0.0011736597225133084
42	0.00040840968818808154
43	8.99685110211426e-05
44	0.0008565643980688367
45	0.0009856378484933823
46	0.0010679196924391287
47	0.001172136637642331
48	0.0011863334387851945
49	0.0007242702976750923
5	0.0008809502111242748
50	0.0007814026176987692
51	0.0008504365574328155
52	0.0011532916866890917
53	0.0008243116997307248
54	0.0009300994490949417
55	0.0007335860129600196
56	0.0009944682702467524
57	0.00065470734581642
58	0.0005988023952095808
59	0.0005731023942944473
6	0.0008876314110565587
60	0.00043086733594726185
61	0.00033760972316002703
62	0.0005411871938019824
63	0.00046780788689444866
64	0.0006031363088057901
65	0.0005796933422219646
66	0.00041758781626136083
67	0.0005175313753396299
68	0.000488477673696914
69	0.0004893564962074871
7	0.0009660758741128823
70	0.0005774005427565101
71	0.0004389308568392358
72	0.0006645722571290479
73	0.0004758565417751954
74	0.0005100051000510005
75	0.00044094488188976377
77	0.0007789895392833296
78	0.000540368722186904
79	0.0009312007011393514
8	0.0010550113036925397
80	0.0005358615004122011
81	0.0011409862089493004
82	0.0005861378400820593
83	0.0008400224005973493
84	0.000571001888698555
85	0.0006047320281200394
86	0.000946924861512239
87	0.0006064065063851038
88	0.0007226638501306354
89	0.0003803727653100038
9	0.0010186944192065197
90	0.00040049585200724704
91	0.0003930431364842291
92	0.0005743130913157816
93	0.0007063215781242117
94	0.0006164468006411047
95	0.0008183914887285172
96	0.0006860592755214051
97	0.0005447146656413214
98	0.0006285355122564425
99	0.0007071468979822742
