condition_name	binding_rate	entity_weight
soilMicrobiome	0.024910738694012658	0.004368303809314966
soilMicrobiome	0.025131008267415662	0.0009843852603808045
soilMicrobiome	0.025129113193567823	0.0017614918760955334
soilMicrobiome	0.025665929482036304	0.0016078406479209661
soilMicrobiome	0.024866255860802332	9.17751676752232e-05
soilMicrobiome	0.02560471207921517	0.0013904047664254904
soilMicrobiome	0.02662162901665603	0.00035847449908033013
soilMicrobiome	0.024760898757965128	0.001107704476453364
soilMicrobiome	0.024899715617429357	0.0010289122583344579
soilMicrobiome	0.023478261059512177	0.0005463255220092833
soilMicrobiome	0.02423745007742495	0.0011629710206761956
soilMicrobiome	0.026827965240188177	0.0028174237813800573
soilMicrobiome	0.027623238453621173	0.002464659046381712
soilMicrobiome	0.027384262740520783	0.00893897470086813
soilMicrobiome	0.02529187980698414	0.0011155325919389725
soilMicrobiome	0.026924778208573568	0.00012684795365203172
soilMicrobiome	0.030499547853920145	0.0006928235525265336
soilMicrobiome	0.030445710911428895	0.004750838968902826
soilMicrobiome	0.03377046454759677	0.012057841755449772
soilMicrobiome	0.031324586222116514	0.004398995079100132
soilMicrobiome	0.030462695367550478	0.0005660904571413994
soilMicrobiome	0.0304327918263538	0.000319735991070047
soilMicrobiome	0.029004208398960268	0.0010517394402995706
soilMicrobiome	0.03161646617360132	0.002700192155316472
soilMicrobiome	0.02614996513732579	0.000435850874055177
soilMicrobiome	0.026088983923743578	0.0012811952037736773
soilMicrobiome	0.02582647419560422	0.0010038549080491066
soilMicrobiome	0.02341489611203485	0.0008445339626632631
soilMicrobiome	0.023810685776297257	0.001520212390460074
soilMicrobiome	0.02745480473757148	0.01964631676673889
soilMicrobiome	0.027144858639834762	0.03075334057211876
soilMicrobiome	0.030246946409260934	0.0020582210272550583
soilMicrobiome	0.024427864083761526	0.0005371254519559443
soilMicrobiome	0.026557488164151155	0.0024734472390264273
soilMicrobiome	0.029725182065703813	0.01013518963009119
