condition_name	binding_rate	entity_weight
soilMicrobiome	0.003741631536365816	0.004368303809314966
soilMicrobiome	0.0036675146915626485	0.0009843852603808045
soilMicrobiome	0.0036927445047221278	0.0017614918760955334
soilMicrobiome	0.003490265583532108	0.0016078406479209661
soilMicrobiome	0.0036734859254274202	9.17751676752232e-05
soilMicrobiome	0.003524609371757535	0.0013904047664254904
soilMicrobiome	0.003620992498799586	0.00035847449908033013
soilMicrobiome	0.003543225791590536	0.001107704476453364
soilMicrobiome	0.0030161697906627475	0.0010289122583344579
soilMicrobiome	0.002925553584507607	0.0005463255220092833
soilMicrobiome	0.002940371318908161	0.0011629710206761956
soilMicrobiome	0.005938435813596349	0.0028174237813800573
soilMicrobiome	0.005168010377457544	0.002464659046381712
soilMicrobiome	0.005245401369101511	0.00893897470086813
soilMicrobiome	0.00585880413147104	0.0011155325919389725
soilMicrobiome	0.003679113096381637	0.00012684795365203172
soilMicrobiome	0.004109061411495095	0.0006928235525265336
soilMicrobiome	0.004449037221784096	0.004750838968902826
soilMicrobiome	0.0057725847697921015	0.012057841755449772
soilMicrobiome	0.004963293372572269	0.004398995079100132
soilMicrobiome	0.005061518157101145	0.0005660904571413994
soilMicrobiome	0.005056766296328153	0.000319735991070047
soilMicrobiome	0.005108005152691233	0.0010517394402995706
soilMicrobiome	0.004735324503588156	0.002700192155316472
soilMicrobiome	0.005920538357030876	0.000435850874055177
soilMicrobiome	0.005461221574047607	0.0012811952037736773
soilMicrobiome	0.005229289292495514	0.0010038549080491066
soilMicrobiome	0.003115867617043739	0.0008445339626632631
soilMicrobiome	0.0034150016057631154	0.001520212390460074
soilMicrobiome	0.003363755129695128	0.01964631676673889
soilMicrobiome	0.003225933479241279	0.03075334057211876
soilMicrobiome	0.0035651703151570193	0.0020582210272550583
soilMicrobiome	0.003378815852533578	0.0005371254519559443
soilMicrobiome	0.0029573524734776407	0.0024734472390264273
soilMicrobiome	0.004297598522747614	0.01013518963009119
soilMicrobiome	0.0038463060793521814	0.010777343064546585
soilMicrobiome	0.0038731716705157813	0.16883334517478943
soilMicrobiome	0.003549008772789412	0.01600140705704689
soilMicrobiome	0.003952237116062718	0.000299083098070696
soilMicrobiome	0.004408479240643877	0.0022216730285435915
soilMicrobiome	0.0036132437776441955	0.0009633428417146206
soilMicrobiome	0.003636621750421012	0.01288336981087923
humanMicrobiome	0.005263089538224821	1.0
humanMicrobiome	0.005329404282916816	3.0
humanMicrobiome	0.003898354737188373	1.0
humanMicrobiome	0.0036606145871393597	1.0
humanMicrobiome	0.0048321329966495375	1.0
humanMicrobiome	0.00421325463041792	1.0
humanMicrobiome	0.004303475103763496	1.0
humanMicrobiome	0.004385023710828245	1.0
humanMicrobiome	0.004700145305028094	1.0
humanMicrobiome	0.00460654576766001	1.0
humanMicrobiome	0.004097520743776867	1.0
humanMicrobiome	0.004128070605755814	5.0
humanMicrobiome	0.0035617510883772536	1.0
humanMicrobiome	0.0035644646992721582	1.0
humanMicrobiome	0.004463280771300141	7.0
humanMicrobiome	0.004303951443235628	1.0
humanMicrobiome	0.004393106052501355	1.0
humanMicrobiome	0.00434424795856567	1.0
humanMicrobiome	0.004378227074527997	1.0
humanMicrobiome	0.006039154579227256	4.0
humanMicrobiome	0.006404964819570243	7.0
humanMicrobiome	0.0061396029459133685	4.0
humanMicrobiome	0.005955962072358319	3.0
humanMicrobiome	0.006071140652249991	1.0
humanMicrobiome	0.0062878320656022295	4.0
humanMicrobiome	0.005938805346700084	1.0
humanMicrobiome	0.006372617643477762	4.0
humanMicrobiome	0.006115904503027741	19.0
humanMicrobiome	0.006431761366767592	1.0
humanMicrobiome	0.005922989311254244	12.0
humanMicrobiome	0.006037667778096938	24.0
humanMicrobiome	0.00603869030295583	7.0
humanMicrobiome	0.0060883928993095025	2.0
humanMicrobiome	0.005639911927135346	1.0
humanMicrobiome	0.006210181837153549	1.0
humanMicrobiome	0.005630078848904292	2.0
humanMicrobiome	0.005861595065265659	1.0
humanMicrobiome	0.005709369312932911	1.0
humanMicrobiome	0.0054945595056606015	1.0
humanMicrobiome	0.0057310280034069	1.0
humanMicrobiome	0.006006629043618087	3.0
humanMicrobiome	0.005865827786436141	3.0
humanMicrobiome	0.005378956696167245	2.0
humanMicrobiome	0.005881491893287608	2.0
humanMicrobiome	0.005470530583730151	6.0
humanMicrobiome	0.005990798685065713	8.0
humanMicrobiome	0.006308054418767779	2.0
humanMicrobiome	0.006205113922518201	1.0
humanMicrobiome	0.005885192491027932	11.0
humanMicrobiome	0.005089297933488435	1.0
humanMicrobiome	0.004645026661249141	1.0
humanMicrobiome	0.004543368324427657	1.0
humanMicrobiome	0.0046541021537708826	1.0
humanMicrobiome	0.0037633295196450216	2.0
humanMicrobiome	0.003557743212241914	1.0
humanMicrobiome	0.0034682542133819276	2.0
humanMicrobiome	0.004240366129433839	1.0
humanMicrobiome	0.0060673504966763615	1.0
humanMicrobiome	0.005426139506582587	1.0
humanMicrobiome	0.005869871578921376	2.0
humanMicrobiome	0.005843803220147673	1.0
humanMicrobiome	0.0051410181272299165	2.0
humanMicrobiome	0.005127536845687023	1.0
humanMicrobiome	0.00520055384378852	1.0
humanMicrobiome	0.005247814149038428	1.0
humanMicrobiome	0.005081813261288935	1.0
humanMicrobiome	0.004950564971751412	1.0
