entity_id	self_mimicry_ratio
0	0.0006692055921252753
1	0.0005711626922101767
2	0.0006039714419092883
3	0.0008209604825102414
4	0.0008054081860648795
5	0.0008532275388933163
6	0.0006739292127767116
7	0.000828704533237771
8	0.0009432039824168147
9	0.0007925627624025362
10	0.0008811769459033979
11	0.00046284843309845106
12	0.0007821892608311485
13	0.0005997139825621627
14	0.0005407483450143425
15	0.0007048635585540227
16	0.0007717876531516125
17	0.0009097951609706884
18	0.0005000333355557038
19	0.00041681200891563843
20	0.00040881917299026067
21	0.0004577096754360197
22	0.0005567824699468254
23	0.0006046787014524886
24	0.00045826686994915
25	0.00047216067991137905
26	0.0005672107961576993
27	0.0007264584152542938
28	0.0004442364289737345
29	0.0007954431675325687
30	0.0008097142236864881
31	0.0008521063002609575
32	0.001044769722037676
33	0.000859266067173833
34	0.000801263880384909
35	0.0008982656563097405
36	0.0008768746976294146
37	0.0008039354554677182
38	0.0006377357344589875
39	0.0007153445084403277
41	0.0010030367803211101
42	0.0005008961817227208
43	0.00036835642869671986
44	0.0006261831949905345
45	0.0008463911440758188
46	0.0007239354062795559
47	0.0006770854924069698
48	0.000799275323706506
49	0.0005602307673969533
50	0.0006221507106462859
51	0.0006289013000422396
52	0.0007731834216588006
53	0.0008578536501672815
54	0.0008889689085937412
55	0.0006262037818913252
56	0.0008849640836385204
57	0.0007547739452034116
58	0.0007162468664199595
59	0.000714694110920526
60	0.0005853776695240274
61	0.0006497576786069195
62	0.0004782654904878308
63	0.00036940314089035795
64	0.00045644969674232474
65	0.0005085718973012878
66	0.0004370327774583094
67	0.0004120131844219015
68	0.00042134524044038787
69	0.00037652893567820847
70	0.00042956260739065186
71	0.00037881396790412564
72	0.0005671480874194201
73	0.0004578626225249722
74	0.0005431584664825963
75	0.0007901754848055839
77	0.0007901082550920938
78	0.0004495392222971454
79	0.0006416459797197795
80	0.0005476972900890604
81	0.0006713821015205386
82	0.0006176828341188992
83	0.0006632845132029471
84	0.0005678544975722163
85	0.0006657608695652174
86	0.0008743536928832653
87	0.0006781852523229429
88	0.0008666733850650005
89	0.0003915992634204331
90	0.00036832412523020257
91	0.0003281455090943184
92	0.0004942681741845979
93	0.0006388933960733409
94	0.0006430116326649909
95	0.0008730815182428085
96	0.0007895379049970572
97	0.0005424063116370809
98	0.0006018899343939972
99	0.0008136177272944818
100	0.0008715950948143882
101	0.0005267535347934572
102	0.0006577767147042994
103	0.0006458985442440503
104	0.0006205102503520203
105	0.0008081049937895635
106	0.0008170086342957943
107	0.0005615331666847807
108	0.0005707472984627873
109	0.0005150325114272839
110	0.0006199878698025474
111	0.000775103670115878
112	0.000684946400226141
113	0.0006817341467923831
114	0.000755998413642673
115	0.0007287449392712551
116	0.0006683126960848015
117	0.0007923468614907773
119	0.0005908216543006321
120	0.000682624920360426
121	0.0005246208605396331
122	0.00044855620970002803
123	0.0005011310248825474
124	0.0004467686597512988
125	0.0005942189545775003
126	0.0004990741812290244
127	0.00053266634243498
128	0.00047835245344455727
129	0.0004982488020047187
130	0.00047794377965021596
131	0.00046333672645582503
132	0.0004075311761349743
133	0.0005634437683119225
134	0.000649406588163571
135	0.0006578947368421052
137	0.0005259027998063342
138	0.0005431985819658071
139	0.0006401137980085349
140	0.0007250268528464017
141	0.0008871513420043606
142	0.0006489848896725687
143	0.0007531050149386405
144	0.0007430286430257292
145	0.0006956394390949365
146	0.0009224808585221857
147	0.0008337315587729912
148	0.0008397067834691237
149	0.0006860168508927881
150	0.0009148532967392014
151	0.000832066400953281
152	0.0008697813121272366
153	0.0008735087530363404
154	0.0006090590506174922
155	0.000811400751974218
156	0.0006779661016949153
157	0.0008982430695190692
159	0.0008006405124099279
160	0.0007763705623005816
161	0.0005767329451829067
162	0.0007768854748603352
